title,vendor,price,rating,reviews_count
Product Recommendation Quiz,RevenueHunt,$29.00,4.6,23
B2B & Wholesale Suite,WebWizards,$149.00,2.3,15
Purolator Shipping Method,OPMC,$99.00,2,5
Paywall,TIV.NET INC.,$129.00,,
Flat Rate Box Shipping,Woo,$59.00,,
Chase Paymentech,SkyVerge,$199.00,2,4
Conversion Tracking Pro,weDevs,$99.00,,
MSRP Pricing,Ademti Software,$49.00,5,3
Ingenico Gateway (Ogone platform),SkyVerge,$79.00,4.7,3
Minimum Periods for WooCommerce Subscriptions,WPExtend,$39.00,,
PDF Watermark for WooCommerce,OPMC,$99.00,,
Affiliate Program for WooCommerce,eplugins,$49.00,3.7,13
Smart Search & Product Filter,Searchanise,Free,4.8,23
Country Restrictions,Addify,$69.00,4.4,14
Invoice Payment Option,Addify,$59.00,4.6,11
WooCommerce In-Person Payments M2,Woo,$79.99,3.6,14
Email Customizer,YayCommerce,$69.00,4.6,7
Variations as Single Products,Procomltd,$49.00,2.9,13
Tipping - Add Order Tip,WPSlash,$29.00,4.2,13
WISDM Customer Specific Pricing,WisdmLabs - Building web solutions with Open Source,$79.00,4,4
Slack Notifications,Kestrel,$59.00,,
Advanced Flat Rate Shipping Method,theDotstore,$129.00,3,4
Bulk Discounts,Plugify,$59.00,4.9,14
M2E Multichannel Connect,M2E LTD,Free,5,7
Elavon Payment Gateway,Elavon,Free,3.7,3
Drip Integration,Kestrel,$89.00,,
Kestrel API Manager,Kestrel,$199.00,4.3,7
Auctions,wpinstitut.com,$149.00,,
Coupon Restrictions,DevPress,$49.00,3.7,3
Help Scout Integration,OPMC,$99.00,2.7,10
Variation Shared Inventory,Web Industrial Solutions (Webis),$49.00,3.1,11
Approve New User Registration,Addify,$29.00,4.9,7
eBay Integration,CedCommerce,$329.00,4.6,83
Product Finder,Kestrel,$89.00,,
Gift Wrapper,Flintop,$79.00,4.4,7
Password Protected Categories & Store,CodeIncept,$49.00,2.9,7
Bulk Order - B2B Product Table,WPExperts,$79.00,4.8,24
Product Prices by User Roles,Tyche Softwares,$49.00,,
Paysafe Gateway,VanboDevelops,$79.00,,
Custom Permalinks,Meow Crew,$49.00,5,4
VosFactures - AntiFraud Customized Invoices,VosFactures,$40.00,,
Stripe Tax,Stripe,Free,1.8,4
Private Store,CodeIncept,$49.00,4,9
Save & Share Cart,HighAddons,$49.00,4.7,20
Datalayer,Array.codes,$99.00,5,30
Clear Cart and Sessions,FmeAddons,$49.00,4.2,6
Etsy for WooCommerce,CedCommerce,$249.00,4.5,100
Westpac & St. George PayWay NET Payment Gateway,Tyson Armstrong,$79.00,5,4
Helio Pay,Helio Fintech Ltd,Free,3,3
Clone Orders,Vibe Agency,$49.00,4,8
Disability VAT Exemption,OPMC,$49.00,,
Shop as a Customer,FmeAddons,$49.00,3.8,24
Amazon Product Importer & Affiliate,Nxtal,$49.00,2.6,13
Custom Product Boxes,CodeIncept,$79.00,4.3,24
Sales Agent,WPExperts,$49.00,4.4,47
Pin Payments Payment Gateway,Tyson Armstrong,$79.00,,
Custom Fields,Addify,$79.00,5,10
Saved Addresses,StoreApps,$79.00,3.4,7
Custom Start Date for WooCommerce Subscriptions,Launch and Sell,$89.00,2.9,7
Payment Reminder,SKROTRON,$29.00,2.1,11
B2B Request a Quote,WPExperts,$49.00,4.7,43
Automatic Order Printing,Procomltd,$119.00,4.2,28
User Registration - Custom Form Fields,WPExperts,$49.00,4.9,38
Price By Quantity,WebMeteors,$49.00,5,11
My Account Page Editor,KoalaApps,$49.00,3.8,5
Storewide Sale,HighAddons,$49.00,4.7,3
Salesforce Integration,WP Swings,$149.00,4.8,18
Elementor Connector for WooCommerce Bookings,WPExtend,$49.00,,
Email Customizer Pro,StoreApps,$99.00,4.3,6
MYOB Integration,OPMC,$99.00,2.8,16
Registration & Login with Mobile Phone Number,FmeAddons,$39.00,4.8,52
WooCommerce Beta Tester,Woo,Free,,
Westpac PayWay API Payment Gateway,Tyson Armstrong,$79.00,,
Migrate & Import Shopify to WooCommerce,FmeAddons,$79.00,3.8,19
Conditional Payment Methods,StoreApps,$79.00,,
"Swiss Post: Barcodes, Address Checker & Auto-Complete",FirstPoint Digital Agency,$79.00,4.2,6
WooCommerce Coupon Campaigns,Woo,$49.00,,
Iconic Delivery Slots,Iconic,$129.00,,
CRM Integration For Zoho,WP Swings,$129.00,4.9,26
Price by Formula Calculator,Plugify,$79.00,5,54
Smart Cart,WP1,$29.00,3.8,4
Sale Flash Pro,Kestrel,$59.00,,
Age Verification and Product Disclaimer Popup,WPExperts,$49.00,4.7,12
Freshdesk Integration,Kestrel,$89.00,,
Give Products,Kestrel,$59.00,,
Stamps.com XML File Export,SkyVerge,$79.00,,
Product Dynamic Pricing and Discounts,Addify,$99.00,5,7
Ninja Forms Product Add-ons,Atomic Web Strategy,$99.00,,
Login & Shop as Customer,KoalaApps,$39.00,4.1,9
Smart Refunder,StoreApps,$79.00,,
Product Gallery Slider,FmeAddons,$49.00,4.4,20
Extend - Subscriptions Add-On,Codup,$49.00,1.3,3
Custom Order Status,Addify,$49.00,4.5,13
Pay360 Gateway,VanboDevelops,$79.00,,
Canal,ShopCanal,Free,,
Product Designer,Flintop,$129.00,2.5,8
Paymob Checkout,Paymob,Free,3.2,5
Shipwire,SkyVerge,$129.00,,
Custom Product Tabs Manager,Addify,$69.00,3.7,8
iPay88 Gateway,VanboDevelops,$79.00,,
Gift Cards Pro for WooCommerce,Flintop,$79.00,3,6
Frequently Bought Together,Premmerce,$49.00,,
Odoo Integration,OPMC,$149.00,1.2,14
Order on WhatsApp,FmeAddons,$49.00,4.4,30
Order Bump,Flintop,$79.00,3.3,3
Product Variations Table,FmeAddons,$49.00,4.8,24
Cost & Reports,Consortia AS,$89.00,4,6
Checkout Fields Manager,Addify,$49.00,5,6
Discounts for WooCommerce Subscriptions,Meow Crew,$79.00,,
QuickBooks Integration,WP Swings,$99.00,4.2,5
Age Verification Popup,KoalaApps,$29.00,4.7,3
Advanced Catalog Mode,ELEXtensions,$79.00,2.3,3
Sales Analysis,itthinx,$129.00,,
Product Listing Page with List and Grid View,FmeAddons,$49.00,3.7,14
Credit Line or Credits,Flintop,$79.00,3.9,7
Customer Email Verification,Zorem,$129.00,3.4,5
Address Autocomplete,WPExperts,$49.00,3.3,13
Buy Again,Flintop,$49.00,5,4
Product Options and Addons,Addify,$69.00,4.8,9
Google AutoFill Customer Addresses,FmeAddons,$49.00,4.1,21
Product Availability Slots,Flintop,$49.00,4.7,6
Hide Shipping Methods,ELEXtensions,$79.00,3.3,4
NetSuite Integration,TechMarbles,$399.00,4.8,40
Extend B2B - Product Tables,Codup,$49.00,,
Multi-Currency Switcher,YayCommerce,$49.00,3.7,3
Subaccounts & Multi-User Accounts,WebWizards,$79.00,,
Estimated Delivery Date & Time,Plugify,$49.00,5,15
Self-service Dashboard for WooCommerce Subscriptions,eCommerce Tools,$89.00,5,8
Auctions Made Easy,Flintop,$129.00,4.7,3
Added to Cart Popup,KoalaApps,$29.00,,
Authorize.Net Reporting,SkyVerge,$49.00,,
New Zealand Post,OPMC,$79.00,2.9,10
Custom Stock Status,Addify,$49.00,5,5
Shipping Locations Pro,WPExtend,$59.00,,
Cashier,StoreApps,$149.00,,
Order Tags,Kestrel,$79.00,5,3
Restaurant,WPExperts,$149.00,3.9,27
Quantity Buttons,FmeAddons,$29.00,4.3,14
User Defined pricing - Name your price based on user roles,FmeAddons,$49.00,4.5,6
Size Chart for WooCommerce,KoalaApps,$49.00,4.7,8
Order Approval,Addify,$49.00,4.4,7
Hide Variations by User Roles,Addify,$29.00,,
Private Store & Website,Addify,$49.00,5,4
MultilingualPress,Syde,$149.00,,
Auto Update Cart,Amplify Plugins,$29.00,,
Gallery Captions,John Beales,$29.00,5,6
Email Reminders for WooCommerce Subscriptions,AspiringPlugins,$39.00,3.6,5
Product Description on Shop Page,KoalaApps,$39.00,4.4,6
Scanventory - Inventory Manager & Label Generator,eStudios Designs,$129.00,2.6,5
Synctrack - Auto Sync PayPal Tracking Info,OmegaApps,Free,4.9,15
Share Cart URL,eplugins,$29.00,3.5,6
Delivery and Pickup Scheduler,Flintop,$99.00,4.9,9
Pixel Manager Pro,SweetCode,$149.00,4,4
Vertical & Accordion Product Detail Tabs,I13 Web Solution,$29.00,2.7,4
Bulk Updater for WooCommerce Subscriptions,AspiringPlugins,$49.00,4.5,4
"User roles editor - Add, Assign and Switch user roles",FmeAddons,$49.00,3.7,6
Bulk Download,Atomic Web Strategy,$49.00,,
Mirakl Connect Integration,CedCommerce,Free,,
Customer Switching,Krokedil,$59.00,,
PsiGate Gateway,VanboDevelops,$79.00,,
Multiple Customer Addresses and Shipping,KoalaApps,$39.00,4,8
Store Finder,WPExperts,$49.00,4,9
Sticky Cart,SKROTRON,$29.00,,
Google Product Review Feed for Google Shopping Ads,WebPerfect,$49.00,,
Cart and Order Restrictions,Addify,$59.00,3.8,4
Open/Close Store Hours & Maintenance mode,FmeAddons,$49.00,4,22
Bulk Category Editor,Consortia AS,$79.00,4.3,6
Merge Orders,Vibe Agency,$49.00,,
Smart Product Bundles,WPExperts,$49.00,5,11
AdRoll Integration,AdRoll,Free,4.2,5
All-In-One Product Slider Carousel,I13 Web Solution,$29.00,,
My Wish List,WP1,$29.00,,
Make an Offer,Plugify,$59.00,4.6,19
Ultimate Memberships,Addify,$129.00,5,5
Segment.io Integration,StoreApps,$79.00,,
