title,vendor,price,rating,reviews_count
Custom Tabs for Products,FmeAddons,$49.00,,
Sort | Hide Out of Stock,Extify Plugins,$39.00,,
WebToffee Gift Cards,WebToffee,$99.00,,
Lucky Wheel Spin,KoalaApps,$39.00,,
Migrate Import Ecwid,FmeAddons,$79.00,,
Dynamic Coupons for Klaviyo,WPGens,$109.00,,
Simple Per Product Shipping,Thrive Aspects,$49.00,,
Quick Buy One Get One Free,Appalify,$39.00,,
Jagif – Free Gift,VillaTheme,$29.00,,
WCC MS Dynamic,We Connect Code,$199.00,,
Checkout Custom Fields Builder for WooCommerce PRO,Stylemix FZ-LLC,$29.00,,
Nexa AI Product Content SmartSuite,Nexa Plugins,$79.00,,
Mistakes Finder,Extify Plugins,$29.00,,
Login and register with phone,TurboPlugins,$39.00,,
Smart Product Tags,Azent Labs,$29.00,,
Sales Agents Manager,Plugify,$49.00,,
Amaya Chatbot AI | GPT PRO,eCommerce Tools,$49.00,,
Easy Check,Obenie,$29.00,,
Product Condition and State,Extendons,$29.00,,
Product Mistakes Finder & Auto Fixer,WPStoreTools,$39.00,,
Mosaic Product Layouts,Micemade,$29.00,,
Product File Attachments by Admin,Plugify,$39.00,,
Personalised Order Numbers,Procomltd,$39.00,,
Location Product Availability,Appalify,$79.00,,
File Upload to Order,Extify Plugins,$49.00,,
Product Size Charts & Guides,W7S,$29.00,,
Photo Reviews,Xyno Tech,$29.00,,
Price Alert and Offer Special Price,Xyno Tech,$39.00,,
Notify Customers,Notify Customers LLC,Free,,
Software License,NSP-CODE SRL,$99.00,,
Product Restock Request,Nexolis,$49.00,,
Product Size Chart Guide,FmeAddons,$39.00,,
Past Order Based Discount,Nexolis,$49.00,,
Stachethemes Review Sentiment AI,Stachethemes,$39.00,,
Extendons Store Locator,Extendons,$79.00,,
Bundle Products Discount,Nexolis,$49.00,,
Order Discounts & Conditional Fee,Xyno Tech,$49.00,,
Review Translator,Jeroen Sormani,$39.00,,
Jetpack Social,Jetpack,Free,,
Linnworks Advanced,Linn Systems Limited,Free,,
SkuVault Core,Linn Systems Limited,Free,,
GoDataFeed,GoDataFeed,Free,,
Jetpack VideoPress,Jetpack,$120.00,,
Jetpack Search,Jetpack,Free,,
Shippo,Shippo,Free,,
